resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
25166,1062,839,214,31,8,1,1,1,25.0,70,2:04:43.199,7483199,54,5,1:21.421,193.704,1
25167,1062,1,131,44,1,2,2,2,18.0,70,+2.736,7485935,49,2,1:18.715,200.363,1
25168,1062,832,6,55,15,3,3,3,15.0,70,+15.018,7498217,54,6,1:21.423,193.699,1
25169,1062,4,214,14,9,4,4,4,12.0,70,+15.651,7498850,41,3,1:20.359,196.264,1
25170,1062,842,213,10,5,5,5,5,11.0,70,+1:03.614,7546813,70,1,1:18.394,201.183,1
25171,1062,852,213,22,16,6,6,6,8.0,70,+1:15.803,7559002,43,10,1:22.450,191.286,1
25173,1062,847,3,63,17,8,8,8,4.0,70,+1:19.094,7562293,62,9,1:22.112,192.074,1
25174,1062,830,9,33,3,9,9,9,2.0,70,+1:20.244,7563443,43,4,1:20.945,194.843,1
25176,1062,817,1,3,11,11,11,11,0.0,69,\N,\N,58,13,1:22.802,190.473,11
25180,1062,846,1,4,6,\N,R,15,0.0,2,\N,\N,\N,0,\N,\N,4
25181,1062,822,131,77,2,\N,R,16,0.0,0,\N,\N,\N,0,\N,\N,4
25182,1062,815,9,11,4,\N,R,17,0.0,0,\N,\N,\N,0,\N,\N,4
25183,1062,844,6,16,7,\N,R,18,0.0,0,\N,\N,\N,0,\N,\N,4
25184,1062,840,117,18,12,\N,R,19,0.0,0,\N,\N,\N,0,\N,\N,4
25186,1063,830,9,33,1,1,1,1,12.5,1,3:27.071,207071,\N,0,\N,\N,1
25187,1063,847,3,63,2,2,2,2,9.0,1,+1.995,209066,\N,0,\N,\N,1
25188,1063,1,131,44,3,3,3,3,7.5,1,+2.601,209672,\N,0,\N,\N,1
25189,1063,817,1,3,4,4,4,4,6.0,1,+4.496,211567,\N,0,\N,\N,1
25191,1063,842,213,10,6,6,6,6,4.0,1,+10.177,217248,\N,0,\N,\N,1
25192,1063,839,214,31,8,7,7,7,3.0,1,+11.579,218650,\N,0,\N,\N,1
25193,1063,844,6,16,9,8,8,8,2.0,1,+12.608,219679,\N,0,\N,\N,1
25195,1063,832,6,55,11,10,10,10,0.5,1,+16.166,223237,\N,0,\N,\N,1
25196,1063,4,214,14,12,11,11,11,0.0,1,+20.590,227661,\N,0,\N,\N,1
25197,1063,822,131,77,13,12,12,12,0.0,1,+22.414,229485,\N,0,\N,\N,1
25199,1063,846,1,4,15,14,14,14,0.0,1,+27.110,234181,\N,0,\N,\N,1
25200,1063,852,213,22,16,15,15,15,0.0,1,+28.329,235400,\N,0,\N,\N,1
25204,1063,815,9,11,0,19,19,19,0.0,1,+38.205,245276,\N,0,\N,\N,1
25205,1063,840,117,18,19,20,20,20,0.0,1,+44.108,251179,\N,0,\N,\N,1
25206,1064,830,9,33,1,1,1,1,25.0,72,1:30:05.395,5405395,60,3,1:13.275,209.244,1
25207,1064,1,131,44,2,2,2,2,19.0,72,+20.932,5426327,72,1,1:11.097,215.654,1
25208,1064,822,131,77,3,3,3,3,15.0,72,+56.460,5461855,69,2,1:12.549,211.338,1
25209,1064,842,213,10,4,4,4,4,12.0,71,\N,\N,57,10,1:14.818,204.929,11
25210,1064,844,6,16,5,5,5,5,10.0,71,\N,\N,58,9,1:14.780,205.033,11
25211,1064,4,214,14,9,6,6,6,8.0,71,\N,\N,60,7,1:14.323,206.294,11
25212,1064,832,6,55,6,7,7,7,6.0,71,\N,\N,45,13,1:15.260,203.725,11
25213,1064,815,9,11,0,8,8,8,4.0,71,\N,\N,59,4,1:13.461,208.714,11
25214,1064,839,214,31,8,9,9,9,2.0,71,\N,\N,54,8,1:14.675,205.321,11
25215,1064,846,1,4,13,10,10,10,1.0,71,\N,\N,48,6,1:14.236,206.535,11
25216,1064,817,1,3,10,11,11,11,0.0,71,\N,\N,59,11,1:14.920,204.650,11
25217,1064,840,117,18,12,12,12,12,0.0,70,\N,\N,57,15,1:15.611,202.780,12
25222,1064,847,3,63,11,17,17,17,0.0,69,\N,\N,57,16,1:15.628,202.734,6
25224,1064,852,213,22,14,\N,R,19,0.0,48,\N,\N,44,17,1:15.783,202.319,131
25226,1065,817,1,3,2,1,1,1,26.0,53,1:21:54.365,4914365,53,1,1:24.812,245.894,1
25227,1065,846,1,4,3,2,2,2,18.0,53,+1.747,4916112,53,3,1:24.971,245.434,1
25228,1065,822,131,77,19,3,3,3,15.0,53,+4.921,4919286,34,2,1:24.827,245.850,1
25229,1065,844,6,16,5,4,4,4,12.0,53,+7.309,4921674,53,6,1:25.319,244.433,1
25230,1065,815,9,11,8,5,5,5,10.0,53,+8.723,4923088,53,4,1:25.156,244.901,1
25231,1065,832,6,55,6,6,6,6,8.0,53,+10.535,4924900,53,8,1:25.559,243.747,1
